ПОРЯДКОВЫЙ НОМЕР ЗАГРУЗКИ; НОМЕР ТВС; КООРДИНАТА X; КООРДИНАТА Y; СТАТУС;  ВРЕМЯ ЗАГРУЗКИ; СМЕНА; ПОВЫСОТНАЯ ОТМЕТКА; ЗАМЕЧАНИЕ 
1;94;7;28;True;05.02.2016 8:50:46;Шаталин;232;;
2;82;8;31;True;05.02.2016 9:00:56;;0;;
3;67;9;28;True;05.02.2016 8:51:01;Шаталин;232;;
4;79;8;25;True;05.02.2016 8:52:23;Шаталин;0;;
5;109;6;31;True;05.02.2016 8:52:31;Шаталин;4;;
6;55;10;31;True;05.02.2016 8:52:33;Шаталин;4;;
7;106;6;25;True;05.02.2016 8:52:46;Шаталин;4;;
8;120;5;28;True;05.02.2016 8:52:50;Шаталин;32;;
9;97;7;34;True;05.02.2016 8:53:16;Шаталин;123;;
10;70;9;34;True;05.02.2016 8:53:26;Шаталин;111;;
11;41;11;28;True;05.02.2016 8:53:34;Шаталин;111;;
12;52;10;25;True;05.02.2016 8:54:09;Привет;111;;
13;85;8;37;True;05.02.2016 8:54:10;Привет;111;;
14;44;11;34;True;05.02.2016 8:54:11;Привет;111;;
15;31;12;31;True;05.02.2016 8:55:01;Привет;111;;
16;28;12;25;True;05.02.2016 8:55:04;Привет;4;;
17;64;9;22;True;05.02.2016 8:55:27;Привет;0;;
18;91;7;22;True;05.02.2016 8:55:54;Привет;0;;
19;130;4;25;True;05.02.2016 8:55:54;Привет;0;;
20;133;4;31;True;05.02.2016 8:55:54;Привет;0;;
21;123;5;34;True;05.02.2016 8:55:54;Привет;0;;
22;76;8;19;True;05.02.2016 8:55:54;Привет;0;;
23;117;5;22;True;05.02.2016 8:55:54;Привет;0;;
24;142;3;28;True;05.02.2016 8:55:54;Привет;0;;
25;145;3;34;True;05.02.2016 8:55:55;Привет;0;;
26;112;6;37;True;05.02.2016 8:55:55;Привет;0;;
27;58;10;37;True;05.02.2016 8:55:55;Привет;0;;
28;22;13;34;True;05.02.2016 8:55:55;Привет;0;;
29;19;13;28;True;05.02.2016 8:55:55;Привет;0;;
30;38;11;22;True;05.02.2016 8:55:55;Привет;0;;
31;103;6;19;True;05.02.2016 8:55:55;Привет;0;;
32;139;3;22;True;05.02.2016 8:55:56;Привет;0;;
33;150;2;25;True;05.02.2016 8:55:56;Привет;0;;
34;153;2;31;True;05.02.2016 8:55:56;Привет;0;;
35;136;4;37;True;05.02.2016 8:55:56;Привет;0;;
36;100;7;40;True;05.02.2016 8:55:56;Привет;0;;
37;73;9;40;True;05.02.2016 8:55:56;Привет;0;;
38;34;12;37;True;05.02.2016 8:55:57;Привет;0;;
39;11;14;31;True;05.02.2016 8:55:58;Привет;0;;
40;8;14;25;True;05.02.2016 8:55:58;Привет;0;;
41;16;13;22;True;05.02.2016 8:55:59;Привет;0;;
42;49;10;19;True;05.02.2016 8:55:59;Привет;0;;
43;88;7;16;True;05.02.2016 8:55:59;Привет;0;;
44;127;4;19;True;05.02.2016 8:55:59;Привет;0;;
45;159;1;28;True;05.02.2016 8:55:59;Привет;0;;
46;162;1;34;True;05.02.2016 8:55:59;Привет;0;;
47;156;2;37;True;05.02.2016 8:55:59;Привет;0;;
48;126;5;40;True;05.02.2016 8:56:00;Привет;0;;
49;47;11;40;True;05.02.2016 8:56:00;Привет;0;;
50;14;14;37;True;05.02.2016 8:56:00;Привет;0;;
51;5;15;34;True;05.02.2016 8:56:00;Привет;0;;
52;2;15;28;True;05.02.2016 8:56:00;Привет;0;;
53;25;12;19;True;05.02.2016 8:56:00;Привет;0;;
54;61;9;16;True;05.02.2016 8:56:00;Привет;0;;
55;81;8;29;True;05.02.2016 8:56:01;Привет;0;;
56;107;6;27;True;05.02.2016 8:56:01;Привет;0;;
57;83;8;33;True;05.02.2016 8:56:01;Привет;0;;
58;53;10;27;True;05.02.2016 8:56:01;Привет;0;;
59;65;9;24;True;05.02.2016 8:56:01;Привет;0;;
60;92;7;24;True;05.02.2016 8:56:01;Привет;0;;
61;121;5;30;True;05.02.2016 8:56:02;Привет;0;;
62;110;6;33;True;05.02.2016 8:56:02;Привет;0;;
63;56;10;33;True;05.02.2016 8:56:02;Привет;0;;
64;42;11;30;True;05.02.2016 8:56:02;Привет;0;;
65;29;12;27;True;05.02.2016 8:56:02;Привет;0;;
66;39;11;24;True;05.02.2016 8:56:02;Привет;0;;
67;77;8;21;True;05.02.2016 8:56:02;Привет;0;;
68;118;5;24;True;05.02.2016 8:56:03;Привет;0;;
69;131;4;27;True;05.02.2016 8:56:03;Привет;0;;
70;134;4;33;True;05.02.2016 8:56:03;Привет;0;;
71;98;7;36;True;05.02.2016 8:56:03;Привет;0;;
72;71;9;36;True;05.02.2016 8:56:03;Привет;0;;
73;32;12;33;True;05.02.2016 8:56:03;Привет;0;;
74;20;13;30;True;05.02.2016 8:56:03;Привет;0;;
75;17;13;24;True;05.02.2016 8:56:04;Привет;0;;
76;50;10;21;True;05.02.2016 8:56:04;Привет;0;;
77;104;6;21;True;05.02.2016 8:56:04;Привет;0;;
78;140;3;24;True;05.02.2016 8:56:04;Привет;0;;
79;143;3;30;True;05.02.2016 8:56:04;Привет;0;;
80;124;5;36;True;05.02.2016 8:56:04;Привет;0;;
81;86;8;39;True;05.02.2016 8:56:05;Привет;0;;
82;45;11;36;True;05.02.2016 8:56:05;Привет;0;;
83;23;13;36;True;05.02.2016 8:56:05;Привет;0;;
84;12;14;33;True;05.02.2016 8:56:05;Привет;0;;
